cfg,run,step,processed,true_distinct,estimate
almost_all_unique,19,18,190000,180627,182610
almost_all_unique,19,19,200000,190013,191044
many_duplicates,0,0,10000,7599,7759.95
many_duplicates,0,1,20000,12211,12590.3
many_duplicates,0,2,30000,14955,15421.9
many_duplicates,0,3,40000,16698,17062.8
many_duplicates,0,4,50000,17749,18122.1
many_duplicates,0,5,60000,18365,18712.4
many_duplicates,0,6,70000,18745,19147.1
many_duplicates,0,7,80000,18958,19323.4
many_duplicates,0,8,90000,19129,19513.6
many_duplicates,0,9,100000,19207,19605
many_duplicates,0,10,110000,19252,19642
many_duplicates,0,11,120000,19277,19700.9
many_duplicates,0,12,130000,19293,19702.9
many_duplicates,0,13,140000,19307,19729
many_duplicates,0,14,150000,19313,19729
many_duplicates,0,15,160000,19318,19729
many_duplicates,0,16,170000,19320,19729
many_duplicates,0,17,180000,19322,19729
many_duplicates,0,18,190000,19324,19743.1
many_duplicates,0,19,200000,19324,19743.1
many_duplicates,1,0,10000,7645,7609.8
many_duplicates,1,1,20000,12188,12229.5
many_duplicates,1,2,30000,14949,14913.2
many_duplicates,1,3,40000,16675,16664
many_duplicates,1,4,50000,17745,17761.9
many_duplicates,1,5,60000,18360,18438.4
many_duplicates,1,6,70000,18732,18890.3
many_duplicates,1,7,80000,18948,19044.1
many_duplicates,1,8,90000,19085,19144.8
many_duplicates,1,9,100000,19178,19228.4
many_duplicates,1,10,110000,19231,19292.6
many_duplicates,1,11,120000,19257,19321.5
many_duplicates,1,12,130000,19280,19321.5
many_duplicates,1,13,140000,19289,19343.7
many_duplicates,1,14,150000,19299,19343.7
many_duplicates,1,15,160000,19304,19347.5
many_duplicates,1,16,170000,19309,19347.5
many_duplicates,1,17,180000,19312,19349.5
many_duplicates,1,18,190000,19313,19349.5
many_duplicates,1,19,200000,19313,19349.5
many_duplicates,2,0,10000,7684,7854.12
many_duplicates,2,1,20000,12366,12927.1
many_duplicates,2,2,30000,15067,15367.6
many_duplicates,2,3,40000,16797,17276.2
many_duplicates,2,4,50000,17781,18240.7
many_duplicates,2,5,60000,18400,18907.5
many_duplicates,2,6,70000,18784,19295.8
many_duplicates,2,7,80000,19002,19552.4
many_duplicates,2,8,90000,19120,19685.8
many_duplicates,2,9,100000,19200,19750.6
many_duplicates,2,10,110000,19244,19798.6
many_duplicates,2,11,120000,19272,19823.9
many_duplicates,2,12,130000,19292,19847.3
many_duplicates,2,13,140000,19306,19871.8
many_duplicates,2,14,150000,19314,19879.9
many_duplicates,2,15,160000,19321,19890.1
many_duplicates,2,16,170000,19325,19890.1
many_duplicates,2,17,180000,19325,19890.1
many_duplicates,2,18,190000,19325,19890.1
many_duplicates,2,19,200000,19327,19890.1
many_duplicates,3,0,10000,7666,7622.64
many_duplicates,3,1,20000,12245,12377.1
many_duplicates,3,2,30000,15053,14970.4
many_duplicates,3,3,40000,16723,16772.7
many_duplicates,3,4,50000,17759,18055.4
many_duplicates,3,5,60000,18406,18602.6
many_duplicates,3,6,70000,18774,18979.4
many_duplicates,3,7,80000,19006,19185.6
many_duplicates,3,8,90000,19132,19339.9
many_duplicates,3,9,100000,19220,19436.1
many_duplicates,3,10,110000,19271,19444.9
many_duplicates,3,11,120000,19306,19483
